"LAYER","NAME","LAT","LON"
"Brown Noddy (B)","B120",-16.60647733,145.9739545
"Brown Noddy (B)","B121",-16.6064761,145.9739561
"Brown Noddy (B)","B122",-16.60647531,145.9739633
"Brown Noddy (B)","B123",-16.60647839,145.9739647
"Brown Noddy (B)","B124",-16.60647944,145.9739647
"Brown Noddy (B)","B125",-16.60648277,145.9739662
"Brown Noddy (B)","B126",-16.60648387,145.9739698
"Brown Noddy (B)","B127",-16.60648115,145.9739752
"Brown Noddy (B)","B128",-16.6064772,145.9739715
"Brown Noddy (B)","B130",-16.60632503,145.9744346
"Brown Noddy (B)","B131",-16.60632565,145.9744303
"Brown Noddy (B)","B132",-16.60632675,145.9744296
"Brown Noddy (B)","B133",-16.60632761,145.9744408
"Brown Noddy (B)","B134",-16.60632727,145.9744425
"Brown Noddy (B)","B135",-16.60632827,145.9744495
"Brown Noddy (B)","B136",-16.60632492,145.9744523
"Brown Noddy (B)","B137",-16.60633314,145.9744438
"Brown Noddy (B)","B138",-16.60633265,145.9744376
"Brown Noddy (B)","B139",-16.60633383,145.9744369
"Brown Noddy (B)","B140",-16.60633541,145.9744479
"Brown Noddy (B)","B141",-16.60633631,145.974439
"Brown Noddy (B)","B142",-16.60633604,145.9744337
"Brown Noddy (B)","B143",-16.60633583,145.9744306
"Brown Noddy (B)","B144",-16.60633956,145.9744338
"Brown Noddy (B)","B145",-16.6063389,145.9744376
"Brown Noddy (B)","B146",-16.60634021,145.9744374
"Brown Noddy (B)","B147",-16.60633825,145.9744412
"Brown Noddy (B)","B148",-16.60633963,145.9744459
"Brown Noddy (B)","B149",-16.60634135,145.9744417
"Brown Noddy (B)","B150",-16.60633438,145.9744443
"Brown Noddy (B)","B151",-16.60634253,145.9744451
"Brown Noddy (B)","B152",-16.60634487,145.9744429
"Brown Noddy (B)","B153",-16.60634819,145.9744399
"Brown Noddy (B)","B154",-16.6063455,145.9744361
"Brown Noddy (B)","B155",-16.60634494,145.9744347
"Brown Noddy (B)","B156",-16.60634599,145.9744328
"Brown Noddy (B)","B157",-16.60634919,145.9744334
"Brown Noddy (B)","B158",-16.60635133,145.9744375
"Brown Noddy (B)","B159",-16.60635434,145.9744346
"Brown Noddy (B)","B160",-16.60635175,145.9744306
"Brown Noddy (B)","B161",-16.60634749,145.9744301
"Brown Noddy (B)","B162",-16.60634382,145.9744308
"Brown Noddy (B)","B163",-16.60634248,145.9744299
"Brown Noddy (B)","B164",-16.60634853,145.9744433
"Brown Noddy (B)","B165",-16.60634798,145.9744448
"Brown Noddy (B)","B166",-16.60634995,145.97445
"Brown Noddy (B)","B167",-16.60635364,145.9744432
"Brown Noddy (B)","B168",-16.60635734,145.9744329
"Brown Noddy (B)","B169",-16.60636031,145.9744379
"Brown Noddy (B)","B170",-16.60636124,145.9744371
"Brown Noddy (B)","B171",-16.60635696,145.9744406
"Brown Noddy (B)","B172",-16.60635824,145.9744414
"Brown Noddy (B)","B173",-16.60635534,145.9744463
"Brown Noddy (B)","B174",-16.60635945,145.9744486
"Brown Noddy (B)","B175",-16.60636024,145.9744436
"Brown Noddy (B)","B176",-16.60636366,145.9744441
"Brown Noddy (B)","B177",-16.60636676,145.9744418
"Brown Noddy (B)","B178",-16.60636635,145.9744371
"Brown Noddy (B)","B179",-16.60635622,145.9744578
"Brown Noddy (B)","B180",-16.60635686,145.9744646
"Brown Noddy (B)","B181",-16.60632484,145.9744454
"Brown Noddy (B)","B182",-16.60641744,145.9747567
