OID_,LAYER,NAME,LAT,LONG
308,Noddy Sp. (B),B263,-16.606050427200000,145.974861814000008
309,Noddy Sp. (B),B264,-16.606051859400001,145.974863300000010
310,Noddy Sp. (B),B265,-16.606056476900001,145.974860218000003
311,Noddy Sp. (B),B266,-16.606058229799999,145.974861327000013
312,Noddy Sp. (B),B267,-16.606055066000000,145.974861658999998
313,Noddy Sp. (B),B268,-16.606053911600000,145.974860328999995
314,Noddy Sp. (B),B269,-16.606052757299999,145.974864674000003
315,Noddy Sp. (B),B270,-16.606054296400000,145.974863255000002
316,Noddy Sp. (B),B271,-16.606055728699999,145.974864209000003
317,Noddy Sp. (B),B272,-16.606052971099999,145.974861726000000
318,Noddy Sp. (B),B273,-16.606051602899999,145.974869374000008
319,Noddy Sp. (B),B274,-16.606053291700000,145.974869796000007
320,Noddy Sp. (B),B275,-16.606053419999999,145.974868265999987
321,Noddy Sp. (B),B276,-16.606055685899999,145.974865982000011
322,Noddy Sp. (B),B277,-16.606052393900001,145.974871723999996
323,Noddy Sp. (B),B278,-16.606049999600000,145.974873874999986
324,Noddy Sp. (B),B279,-16.606051838100001,145.974876491000003
325,Noddy Sp. (B),B280,-16.606047583999999,145.974876778999999
326,Noddy Sp. (B),B281,-16.606050726500001,145.974850618000005
327,Noddy Sp. (B),B282,-16.606050535700000,145.974878249999989
328,Noddy Sp. (B),B283,-16.606049081999998,145.974880533999993
329,Noddy Sp. (B),B284,-16.606046025099999,145.974885011999987
330,Noddy Sp. (B),B285,-16.606047671199999,145.974883858999988
331,Noddy Sp. (B),B286,-16.606051006000001,145.974880888999991
332,Noddy Sp. (B),B287,-16.606050129500002,145.974886032000001
333,Noddy Sp. (B),B288,-16.606053079500001,145.974885655000008
334,Noddy Sp. (B),B289,-16.606057974900001,145.974892062000009
335,Noddy Sp. (B),B290,-16.606046987100001,145.974889757000000
336,Noddy Sp. (B),B291,-16.606046068200001,145.974903683999997
337,Noddy Sp. (B),B292,-16.606046033700000,145.974901069999987
338,Noddy Sp. (B),B293,-16.606048105500001,145.974899996000005
339,Noddy Sp. (B),B294,-16.606045860999998,145.974896128000012
340,Noddy Sp. (B),B295,-16.606045412099999,145.974893584999990
341,Noddy Sp. (B),B296,-16.606048485300001,145.974894803000012
342,Noddy Sp. (B),B297,-16.606047863800001,145.974892474999990
343,Noddy Sp. (B),B298,-16.606051637600000,145.974882330000014
344,Noddy Sp. (B),B299,-16.606050170500001,145.974892501999989
345,Noddy Sp. (B),B300,-16.606050931199999,145.974895094000004
346,Noddy Sp. (B),B301,-16.606051719100002,145.974892559000011
347,Noddy Sp. (B),B302,-16.606052751499998,145.974894417999991
348,Noddy Sp. (B),B303,-16.606050605200000,145.974897658999993
349,Noddy Sp. (B),B304,-16.606052126600002,145.974898728999989
350,Noddy Sp. (B),B305,-16.606046541500000,145.974915075000013
351,Noddy Sp. (B),B306,-16.606044809000000,145.974916522999990
352,Noddy Sp. (B),B307,-16.606048509400001,145.974916522999990
353,Noddy Sp. (B),B308,-16.606046238699999,145.974917987999987
354,Noddy Sp. (B),B309,-16.606042370099999,145.974919139000008
355,Noddy Sp. (B),B310,-16.606041915999999,145.974922977000006
356,Noddy Sp. (B),B311,-16.606044186700000,145.974921529000000
357,Noddy Sp. (B),B312,-16.606045515400002,145.974920010999995
358,Noddy Sp. (B),B313,-16.606043194300000,145.974924563999991
359,Noddy Sp. (B),B314,-16.606044338099998,145.974925890000009
360,Noddy Sp. (B),B315,-16.606045565900001,145.974923692000004
361,Noddy Sp. (B),B316,-16.606048627100002,145.974925035000012
362,Noddy Sp. (B),B317,-16.606049888600001,145.974926098999987
363,Noddy Sp. (B),B318,-16.606054610299999,145.974924206999987
364,Noddy Sp. (B),B319,-16.606045632400001,145.974929042000014
365,Noddy Sp. (B),B320,-16.606043767799999,145.974929793999991
366,Noddy Sp. (B),B321,-16.606045494300002,145.974931370000007
367,Noddy Sp. (B),B322,-16.606043388000000,145.974933518000000
368,Noddy Sp. (B),B323,-16.606049258100001,145.974923311999987
369,Noddy Sp. (B),B324,-16.606048291299999,145.974922345000010
370,Noddy Sp. (B),B325,-16.606047013600001,145.974921163000005
371,Noddy Sp. (B),B326,-16.606047728499998,145.974933233000002
372,Noddy Sp. (B),B327,-16.606049222799999,145.974930640999986
373,Noddy Sp. (B),B328,-16.606047728499998,145.974928527000003
374,Noddy Sp. (B),B329,-16.606046315699999,145.974934697999998
375,Noddy Sp. (B),B330,-16.606044033600000,145.974936501999991
376,Noddy Sp. (B),B331,-16.606042702300002,145.974938615000013
377,Noddy Sp. (B),B332,-16.606044875799999,145.974938530000003
378,Noddy Sp. (B),B333,-16.606045989700000,145.974939178000000
379,Noddy Sp. (B),B334,-16.606044278100001,145.974941123000008
380,Noddy Sp. (B),B335,-16.606042946799999,145.974942222000010
381,Noddy Sp. (B),B336,-16.606041615500001,145.974940755999995
382,Noddy Sp. (B),B337,-16.606045337699999,145.974944278000009
383,Noddy Sp. (B),B338,-16.606043245700000,145.974947743999991
384,Noddy Sp. (B),B339,-16.606041914399999,145.974949266000010
